address/city,address/state,address/streetAddress,address/zipcode,bathrooms,bedrooms,datePriceChanged,daysOnZillow,favoriteCount,homeStatus,homeType,isNonOwnerOccupied,latitude,listing_sub_type/is_FSBA,listing_sub_type/is_FSBO,listing_sub_type/is_bankOwned,listing_sub_type/is_comingSoon,listing_sub_type/is_forAuction,listing_sub_type/is_foreclosure,listing_sub_type/is_newHome,listing_sub_type/is_openHouse,listing_sub_type/is_pending,livingArea,longitude,monthlyHoaFee,mortgageRates,mortgageRates/arm5Rate,mortgageRates/fifteenYearFixedRate,mortgageRates/thirtyYearFixedRate,pageViewCount,parentRegion,parentRegion/name,price,priceChange,propertyTaxRate,rentZestimate,restimateHighPercent,restimateLowPercent,taxAssessedValue,taxAssessedYear,timeOnZillow,url,yearBuilt,zestimate,zestimateHighPercent,zestimateLowPercent
Philadelphia,PA,7713 Delphi Pl,19153,2,3,,8,0,RECENTLY_SOLD,TOWNHOUSE,FALSE,39.905724,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1360,-75.244835,,,3.951,3.594,4.426,159,,Eastwick,310000,,0.98,1616,19,21,142500,2021,8 days,https://www.zillow.com/homedetails/7713-Delphi-Pl-Philadelphia-PA-19153/10409802_zpid/,1965,,,
Philadelphia,PA,123 N 20th St APT 3R,19103,1,1,,1,7,FOR_RENT,APARTMENT,FALSE,39.956196,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,550,-75.1723,,,,,,371,,Logan Square,1595,,0.98,1494,15,10,,,1 day,https://www.zillow.com/homedetails/123-N-20th-St-APT-3R-Philadelphia-PA-19103/2095399328_zpid/,1880,,,
Philadelphia,PA,1248 Magee Ave,19111,2,4,,8,0,RECENTLY_SOLD,TOWNHOUSE,FALSE,40.043926,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1230,-75.07909,,,4.591,3.941,4.602,60,,Oxford Circle,216495,,0.98,1500,13,10,113600,2021,8 days,https://www.zillow.com/homedetails/1248-Magee-Ave-Philadelphia-PA-19111/10491494_zpid/,1940,215100,5,5
Philadelphia,PA,30 N 3rd St APT 4B,19106,1,1,,1,64,FOR_RENT,APARTMENT,FALSE,39.951115,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,675,-75.1458,,,,,,883,,Old City,1395,,0.98,1520,24,10,,,1 day,https://www.zillow.com/homedetails/30-N-3rd-St-APT-4B-Philadelphia-PA-19106/2080368297_zpid/,,,,
Philadelphia,PA,1918 W Girard Ave,19130,2,3,,1,10,FOR_RENT,APARTMENT,FALSE,39.97236,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1475,-75.16823,,,,,,161,,Francisville,2300,,0.98,1995,25,20,660100,2021,1 day,https://www.zillow.com/homedetails/1918-W-Girard-Ave-Philadelphia-PA-19130/103779296_zpid/,1915,1899900,5,6
Philadelphia,PA,425 Sigel St,19148,2,2,,8,0,RECENTLY_SOLD,TOWNHOUSE,FALSE,39.925465,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,896,-75.15367,,,3.951,3.594,4.426,76,,Dickinson Narrows,305000,,0.98,1794,11,8,172200,2021,8 days,https://www.zillow.com/homedetails/425-Sigel-St-Philadelphia-PA-19148/10172664_zpid/,1925,297600,5,5
Philadelphia,PA,177 Parker Ave #1,19128,1,2,,3,25,FOR_RENT,APARTMENT,FALSE,40.0363,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,950,-75.232895,,,,,,344,,Roxborough,1625,,,1594,13,13,,,3 days,https://www.zillow.com/homedetails/177-Parker-Ave-1-Philadelphia-PA-19128/2113912936_zpid/,1975,,,
Philadelphia,PA,1318-20 South St,19147,2,2,,1,29,FOR_RENT,TOWNHOUSE,FALSE,39.943325,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1200,-75.16403,,,,,,365,,Hawthorne,2800,,0.98,2117,55,31,927800,2021,1 day,https://www.zillow.com/homedetails/1318-20-South-St-Philadelphia-PA-19147/244628420_zpid/,2011,,,
Philadelphia,PA,918 Ellsworth St,19147,1,3,,8,332,RECENTLY_SOLD,TOWNHOUSE,FALSE,39.935246,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1282,-75.15937,,,3.951,3.594,4.426,4564,,Passyunk Square,420000,,0.98,1795,6,14,264800,2021,8 days,https://www.zillow.com/homedetails/918-Ellsworth-St-Philadelphia-PA-19147/10177929_zpid/,1915,350800,5,5
Philadelphia,PA,900 N 29th St #B,19130,2,2,,3,13,FOR_RENT,CONDO,FALSE,39.97338,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,1400,-75.184,,,,,,256,,Fairmount,2150,,,,,,,,3 days,https://www.zillow.com/homedetails/900-N-29th-St-B-Philadelphia-PA-19130/2065409236_zpid/,1915,,,
Philadelphia,PA,4593 Fleming St,19128,2,3,,1,44,FOR_RENT,TOWNHOUSE,FALSE,40.032417,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1400,-75.2232,,,,,,748,,Roxborough,2300,,0.98,2049,22,8,178000,2021,1 day,https://www.zillow.com/homedetails/4593-Fleming-St-Philadelphia-PA-19128/10269864_zpid/,1965,281000,8,7
Philadelphia,PA,5446 Webster St,19143,2,3,,8,0,RECENTLY_SOLD,TOWNHOUSE,FALSE,39.94893,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1260,-75.23245,,,4.591,3.941,4.602,80,,Cobbs Creek,225000,,0.98,1249,10,5,76300,2021,8 days,https://www.zillow.com/homedetails/5446-Webster-St-Philadelphia-PA-19143/10454419_zpid/,1925,,,
